time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1849	1.35992	5.21509	0.245382	0.240172	radar	4.48968	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4125	1.44226	5.19743	0.268371	0.256301	lidar	1.38776	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6519	1.54185	5.18166	0.301855	0.292261	radar	4.48756	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.884	1.56975	5.16266	0.292097	0.260322	lidar	2.00669	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.145	1.62387	5.1712	0.291949	0.240989	radar	1.6155	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4201	1.66162	5.18576	0.281341	0.208893	lidar	1.62557	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6568	1.72837	5.17085	0.292082	0.21327	radar	1.39097	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8907	1.79035	5.15845	0.29759	0.207155	lidar	0.734662	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1394	1.88145	5.16744	0.312991	0.210953	radar	0.949718	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3863	1.90399	5.15568	0.294316	0.172129	lidar	1.13075	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6378	1.96244	5.15998	0.291522	0.15348	radar	0.907686	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8394	2.10192	5.14279	0.337589	0.206338	lidar	3.64912	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0939	2.20212	5.16278	0.34829	0.199043	radar	3.36707	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2969	2.34661	5.14907	0.39137	0.244436	lidar	2.62073	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4857	2.51409	5.12459	0.451741	0.320899	radar	10.9503	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7308	2.61833	5.13323	0.460484	0.31039	lidar	0.565512	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9508	2.74135	5.12766	0.48322	0.323429	radar	0.297877	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.175	2.88596	5.13419	0.510752	0.337791	lidar	0.253403	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4192	2.98536	5.14519	0.502691	0.29305	radar	1.61078	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6343	3.05976	5.12175	0.496487	0.268318	lidar	2.77203	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8583	3.20456	5.13369	0.514205	0.26523	radar	3.78032	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0584	3.39179	5.1408	0.558982	0.305811	lidar	0.970047	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2673	3.55912	5.14488	0.592437	0.334112	radar	2.28802	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4746	3.73881	5.15556	0.624926	0.353455	lidar	0.600206	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6885	3.87213	5.15236	0.63196	0.338612	radar	1.00203	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9093	4.01101	5.15528	0.638865	0.325262	lidar	0.26181	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1054	4.18209	5.15256	0.672242	0.359615	radar	1.64719	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2999	4.37053	5.16118	0.702067	0.373777	lidar	0.370441	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5096	4.52877	5.16612	0.710306	0.356327	radar	0.722413	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.69	4.70111	5.15938	0.733141	0.363656	lidar	0.412445	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8414	4.91695	5.15091	0.797313	0.451744	radar	4.6153	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0047	5.13363	5.15837	0.83518	0.470159	lidar	0.381177	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.174	5.31775	5.15208	0.860693	0.48052	radar	1.86479	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3382	5.49988	5.14358	0.8803	0.476335	lidar	0.335709	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4921	5.69077	5.13361	0.9108	0.496997	radar	3.6024	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6959	5.81949	5.11556	0.896135	0.450909	lidar	2.89092	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8312	6.03835	5.11274	0.943398	0.500494	radar	1.34185	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.012	6.21639	5.11062	0.947917	0.4754	lidar	0.91077	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1552	6.43314	5.1136	0.976166	0.482468	radar	0.474553	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2798	6.65655	5.11279	1.00873	0.493007	lidar	0.226183	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4057	6.88097	5.11335	1.04145	0.508596	radar	0.17324	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5629	7.03279	5.08203	1.03879	0.479235	lidar	4.14541	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7081	7.2441	5.08472	1.04652	0.447867	radar	0.471027	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
