time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	48.148	17.2859	3.40247	0.060035	-0.31251	lidar	0.206079	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1279	17.2746	3.34241	-0.0102525	-0.451095	radar	0.290774	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6326	19.0552	3.10433	0.750784	0.320552	lidar	1.82687	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.605	19.0355	3.15731	0.650522	0.149601	radar	0.344271	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6979	19.8914	3.12946	-0.0325836	-0.401007	lidar	1.34777	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6664	19.882	3.13306	-0.00654644	-0.362942	radar	0.264239	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0471	21.0765	2.91253	0.515189	0.211282	lidar	1.302	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0114	21.0614	2.9152	0.495479	0.191446	radar	0.364686	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6486	21.7825	2.92129	0.0531657	-0.224544	lidar	0.570095	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6446	21.7923	2.99546	0.147208	-0.0553586	radar	0.202479	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8695	22.7809	2.94537	0.559802	0.245252	lidar	0.228509	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8433	22.7694	2.9515	0.545461	0.225798	radar	0.200718	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.37	23.4089	2.91342	0.060424	-0.234066	lidar	0.517581	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4565	23.4407	2.91584	0.0285341	-0.264201	radar	1.98948	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3125	23.9893	2.95028	0.370561	0.133994	lidar	1.09253	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2327	23.9659	2.76246	0.344	0.129485	radar	2.22406	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2595	24.3617	2.75869	0.138151	-0.0869797	lidar	0.0858092	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3469	24.3948	2.78519	0.144693	-0.0687048	radar	2.01568	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8135	24.8795	2.8304	0.290281	0.0698295	lidar	0.355676	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7859	24.8689	2.69116	0.239808	0.00954204	radar	0.560574	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.889	24.7192	2.702	-0.24756	-0.307604	lidar	0.189301	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9398	24.7391	2.71405	-0.226245	-0.277797	radar	0.69206	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0344	25.2346	2.37574	0.217957	0.177723	lidar	1.61499	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	75.0141	25.23	2.3149	0.190108	0.132894	radar	0.154671	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.113	24.9374	2.38117	-0.338926	-0.297546	lidar	0.431398	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1385	24.9419	2.36341	-0.388674	-0.377011	radar	0.201823	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.1281	25.0031	2.07172	0.0158242	0.130755	lidar	1.60757	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.13	25.0053	2.04889	-0.0079108	0.0815702	radar	0.0356529	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8007	24.8699	2.08386	-0.0232029	0.0185698	lidar	0.0447821	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8564	24.8774	1.99304	-0.144381	-0.182863	radar	1.29612	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6041	24.6381	2.03833	-0.105671	-0.04135	lidar	0.242264	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5905	24.6273	1.96302	-0.226445	-0.230127	radar	0.227709	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1655	24.5435	1.9287	-0.0112644	0.0535597	lidar	0.212034	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1714	24.5428	1.87244	-0.0690619	-0.0477744	radar	0.150196	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.633	23.8172	1.94196	-0.607841	-0.3588	lidar	0.246283	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6916	23.8392	1.96997	-0.517214	-0.244096	radar	0.904579	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9926	23.4828	1.59423	-0.373697	-0.00537016	lidar	1.74537	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0913	23.5167	1.61105	-0.373171	-0.0949974	radar	3.46084	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7538	22.8028	1.8502	-0.304214	0.0145941	lidar	1.76084	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.6936	22.7798	1.79156	-0.464192	-0.207614	radar	0.90356	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5478	22.2818	1.57391	-0.661512	-0.211068	lidar	1.33784	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.5929	22.2933	1.57468	-0.678516	-0.282873	radar	0.71621	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
